,"region_name","COD_REG","remaining_days","data_zero","data_zero_max","data_zero_min","model_score","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","casi_testati"
0,"Abruzzo",13,15,"08/05/2020","11/05/2020","11/05/2020",0.973143855040216,"2020-04-22T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,309,35,344,1764,2108,41,66,349,276,2733,30348,24317
1,"Basilicata",17,8,"01/05/2020","04/05/2020","04/05/2020",0.966324048199457,"2020-04-22T17:00:00","ITA",17,"Basilicata",40.63947052,15.80514834,65,7,72,160,232,-13,4,98,24,354,8040,8040
2,"Calabria",18,8,"01/05/2020","04/05/2020","04/05/2020",0.931129242061484,"2020-04-22T17:00:00","ITA",18,"Calabria",38.90597598,16.59440194,128,7,135,686,821,2,13,163,76,1060,26560,24878
3,"Campania",15,18,"11/05/2020","15/05/2020","15/05/2020",0.953806506694337,"2020-04-22T17:00:00","ITA",15,"Campania",40.83956555,14.25084984,523,53,576,2422,2998,52,50,860,327,4185,55701,38679
4,"Emilia-Romagna",8,54,"16/06/2020","19/06/2020","19/06/2020",0.96247338275348,"2020-04-22T17:00:00","ITA",8,"Emilia-Romagna",44.49436681,11.3417208,2964,282,3246,9838,13084,-160,342,7146,3204,23434,140874,96824
5,"Friuli Venezia Giulia",6,8,"01/05/2020","07/05/2020","07/05/2020",0.88462127456874,"2020-04-22T17:00:00","ITA",6,"Friuli Venezia Giulia",45.6494354,13.76813649,134,20,154,1154,1308,-14,25,1263,246,2817,50869,32871
6,"Lazio",12,439,"06/07/2021","09/08/2021","09/08/2021",0.179000341615227,"2020-04-22T17:00:00","ITA",12,"Lazio",41.89277044,12.48366722,1384,187,1571,2892,4463,61,80,1142,370,5975,104062,25244
7,"Liguria",7,24,"17/05/2020","22/05/2020","22/05/2020",0.940198869070272,"2020-04-22T17:00:00","ITA",7,"Liguria",44.41149315,8.9326992,860,92,952,2524,3476,13,154,2420,1022,6918,35990,23756
8,"Lombardia",3,25,"18/05/2020","19/05/2020","19/05/2020",0.995881403962983,"2020-04-22T17:00:00","ITA",3,"Lombardia",45.46679409,9.190347404,9692,817,10509,23733,34242,264,1161,22110,12740,69092,290699,184323
9,"Marche",11,14,"07/05/2020","09/05/2020","09/05/2020",0.980925369264369,"2020-04-22T17:00:00","ITA",11,"Marche",43.61675973,13.5188753,735,76,811,2419,3230,12,47,1849,845,5924,46492,30543
10,"Molise",14,10,"03/05/2020","11/05/2020","11/05/2020",0.755092470001254,"2020-04-22T17:00:00","ITA",14,"Molise",41.55774754,14.65916051,21,2,23,182,205,-8,2,60,19,284,4425,4252
11,"Piemonte",1,44,"06/06/2020","10/06/2020","10/06/2020",0.955140573423546,"2020-04-22T17:00:00","ITA",1,"Piemonte",45.0732745,7.680687483,3213,273,3486,11636,15122,311,784,5058,2559,22739,111513,81176
12,"Puglia",16,12,"05/05/2020","16/05/2020","16/05/2020",0.698536808088159,"2020-04-22T17:00:00","ITA",16,"Puglia",41.12559576,16.86736689,564,60,624,2250,2874,62,108,494,362,3730,48342,46925
13,"Sardegna",20,89,"21/07/2020","13/08/2020","13/08/2020",0.300515118402497,"2020-04-22T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,97,20,117,716,833,-4,11,318,96,1247,16886,15354
14,"Sicilia",19,16,"09/05/2020","11/05/2020","11/05/2020",0.975492897527685,"2020-04-22T17:00:00","ITA",19,"Sicilia",38.11569725,13.3623567,500,35,535,1752,2287,28,48,388,208,2883,58732,58732
15,"Toscana",9,32,"25/05/2020","28/05/2020","28/05/2020",0.981208686951449,"2020-04-22T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,820,174,994,5173,6167,-455,97,1828,705,8700,114100,91747
16,"Trentino Alto Adige",4,10,"03/05/2020","07/05/2020","07/05/2020",0.944079950900182,"2020-04-22T17:00:00","ITA",4,"Trentino Alto Adige",46.06893511,11.12123097,245,34,279,1595,1874,-35,32,1391,381,3646,26674,17672
17,"Trentino Alto Adige",4,10,"03/05/2020","07/05/2020","07/05/2020",0.944079950900182,"2020-04-22T17:00:00","ITA",4,"Trentino Alto Adige",46.49933453,11.35662422,157,19,176,1336,1512,-24,6,648,256,2416,32722,15736
18,"Umbria",10,19,"12/05/2020","17/05/2020","17/05/2020",0.931870417014699,"2020-04-22T17:00:00","ITA",10,"Umbria",43.10675841,12.38824698,97,20,117,254,371,-36,4,925,61,1357,27655,18679
19,"Valle d'Aosta",2,5,"28/04/2020","01/05/2020","01/05/2020",0.973778916254417,"2020-04-22T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,92,8,100,401,501,-21,2,467,127,1095,5024,4011
20,"Veneto",5,19,"12/05/2020","14/05/2020","14/05/2020",0.982055177799332,"2020-04-22T17:00:00","ITA",5,"Veneto",45.43490485,12.33845213,1205,163,1368,8623,9991,-86,334,5566,1181,16738,277543,171735
